SHRP_ID,STATE_CODE,STATE_CODE_EXP,DATE_COMPLETE,DATE_BEGAN,SECTION_LENGTH,SECTION_WIDTH,AIR_TEMP,RELATIVE_HUMIDITY,PAVE_TEMP,SURFACE_MOISTURE,SURFACE_MOISTURE_EXP,SURFACE_COND,SURFACE_COND_EXP,SURFACE_COND_OTHER,CRACK_SEVERITY_EXP,CRACK_SEVERITY,CRACK_TYPE,CRACK_TYPE_EXP,PERCENT_SEALED,LENGTH_SEALED,WIDTH_MIN,WIDTH_MEAN,WIDTH_MAX,DEPTH_MIN,DEPTH_MEAN,DEPTH_MAX,LENGTH_PREPARED,MAX_SEAL_TEMP,SEAL_TEMP_BEGIN,SEAL_TEMP_END,AVG_WIDTH_CRACK,SEAL_THICKNESS,CONSTRUCTION_NO
B330,29,Missouri,08/18/1990,08/18/1990,2,12,98,,105,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),100,31,1.5,1.5,1.5,0.370000004768372,0.439999997615814,0.5,31,410,380,380,3,0.370000004768372,2
A330,31,Nebraska,07/17/1990,07/17/1990,700,13,85,33,97,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),95,100,1.5,1.5,1.5,0.370000004768372,0.400000005960464,0.5,153,410,385,385,1.5,0.300000011920929,2
A330,83,Manitoba,07/25/1990,07/25/1990,700,13.6999998092651,85,33,,1,Dry,2,Slightly Oxidized,,Low,1,6,Transverse cracking (AC),50,260,1.5,1.5,1.5,0.379999995231628,0.439999997615814,0.5,260,410,375,375,3,0.360000014305115,2
A330,90,Saskatchewan,07/23/1990,07/23/1990,700,13,85,12,105,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),,1068,1.5,1.5,1.5,0.379999995231628,0.509999990463257,0.629999995231628,1068,410,380,385,3,0.349999994039536,2
A330,18,Indiana,08/16/1990,08/16/1990,700,12,79,,86,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),100,341,1.5,1.5,1.5,0.370000004768372,0.430000007152557,0.5,341,410,395,395,3,0.370000004768372,2
B331,90,Saskatchewan,10/25/1990,10/25/1990,791,12,59,33,45,1,Dry,3,Normal,,Moderate,2,1,Alligator cracking (AC),90,1637,1.17999994754791,1.20000004768372,1.29999995231628,0.589999973773956,0.589999973773956,0.670000016689301,1637,,374,369,2.90000009536743,0.0799999982118607,2
A331,83,Manitoba,06/14/1990,06/14/1990,500,12,55,15,60,1,Dry,3,Normal,,Moderate,2,6,Transverse cracking (AC),100,307,1.5,1.5,1.5,0.379999995231628,0.439999997615814,0.5,307,410,375,375,3,0.360000014305115,2
A330,17,Illinois,08/17/1990,08/17/1990,700,12,95,65,122,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),100,425,1.5,1.5,1.5,0.370000004768372,0.5,0.620000004768372,425,410,380,380,3,0.379999995231628,2
A330,19,Iowa,07/10/1990,07/10/1990,700,12,70,95,70,1,Dry,3,Normal,,Moderate,2,6,Transverse cracking (AC),95,723,1.5,1.5,1.5,0.379999995231628,0.439999997615814,0.5,723,410,375,370,1.5,0.379999995231628,2
B330,17,Illinois,08/02/1990,08/02/1990,700,12,87,40,104,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),90,697,1.5,1.5,1.5,0.379999995231628,0.5,0.600000023841858,697,410,390,390,1.5,0.400000005960464,2
