STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
17,Illinois,1003,07/25/1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.600006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
17,Illinois,1003,05/04/1992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.100006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
17,Illinois,1003,05/12/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.1999969482422,228.800003051758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,0
18,Indiana,1028,07/11/1991,1,41.7000007629395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.800003051758,20,0,0,0,0,12,0,0,27.7000007629395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UPDATED FATIGUE AND L-NWP CRACKING - ECOMPEX 96 & UPDATED 4B ESCINC-17,3.70000004768372,177.899993896484,19.8999996185303
18,Indiana,1028,12/19/1991,1,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18,0,0,30.6000003814697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.2 M OF 4BL RATED, BUT CAN NOT DETERMINE EDGE CRACKING VALUE. NULL 4B ESCINC-17",3.70000004768372,194.800003051758,19.1000003814697
18,Indiana,1028,05/01/1992,1,59.9000015258789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7.6 M OF 4BL RATED, BUT CAN NOT DETERMINE EDGE CRACKING VALUE. NULL 4B ESCINC-17",3.70000004768372,181.100006103516,21
18,Indiana,1028,03/18/1993,1,68.9000015258789,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,126.800003051758,0,0,0,0,0,27,0,0,33.7999992370605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,220.800003051758,23.1000003814697
39,Ohio,0101,11/05/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5,0,0
39,Ohio,0103,11/04/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5,0,0
39,Ohio,0104,11/05/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5,0,0
18,Indiana,A330,03/18/1993,2,0,0,0,0,0,0,0,0,0,64,0,0,9,0,0,325,0,0,13,0,0,49,0,0,48.5,0,0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,,3.70000004768372,64.3000030517578,24.7000007629395
